Severity,Marker Colour,Number of Vehicles,Number of Casualties,Date,Day,a_date_mon,Time Hour,Time Minutes,Road Class,road_type,speed_limi,junc_det,junc_ctrl,road2_class,light_cond,weather,road_surf,Postcode,Latitude,Longitude
Serious,large_blue,2,1,1/10/2007,Wednesday,January,9,15,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH92RA,55.930857,-3.188769
Serious,large_blue,2,1,1/25/2007,Thursday,January,18,15,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Darkness: street lights present and lit,Unknown,Dry,EH165PD,55.927014,-3.166837
Serious,large_blue,2,1,2/7/2007,Wednesday,February,13,0,C,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH75QB,55.961862,-3.171362
Serious,large_blue,2,1,3/5/2007,Monday,March,8,5,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH65HE,55.969282,-3.174438
Serious,large_blue,2,1,4/18/2007,Wednesday,April,7,8,A,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH114BH,55.922723,-3.286962
Serious,large_blue,2,1,5/3/2007,Thursday,May,10,40,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH141LA,55.924851,-3.245526
Serious,large_blue,2,1,5/14/2007,Monday,May,16,0,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Daylight: street lights present,Fine (without high winds),Dry,EH39LY,55.943478,-3.203966
Serious,large_blue,2,1,5/25/2007,Friday,May,7,50,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH87LB,55.950167,-3.142231
Serious,large_blue,2,1,5/31/2007,Thursday,May,7,30,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH42NY,55.965595,-3.233554
Serious,large_blue,2,1,6/6/2007,Wednesday,June,20,30,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH52DG,55.977152,-3.231607
Serious,large_blue,2,1,6/9/2007,Saturday,June,12,0,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH91NQ,55.939311,-3.182384
Serious,large_blue,2,1,6/21/2007,Thursday,June,18,0,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH127LL,55.93628,-3.284025
Serious,large_blue,4,1,7/1/2007,Sunday,July,20,20,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH44RL,55.969703,-3.26182
Serious,large_blue,2,1,7/14/2007,Saturday,July,20,20,B,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lighting unknown,Fine (without high winds),Dry,EH152ET,55.949122,-3.098035
Serious,large_blue,2,1,8/2/2007,Thursday,August,8,40,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH89QR,55.94268,-3.179572
Serious,large_blue,2,1,8/29/2007,Wednesday,August,18,43,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,A,Daylight: street lights present,Fine (without high winds),Dry,EH125JH,55.946189,-3.227893
Serious,large_blue,2,1,9/6/2007,Thursday,September,18,20,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH42TG,55.965436,-3.257307
Serious,large_blue,2,1,9/7/2007,Friday,September,17,17,A,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH177SA,55.909172,-3.139666
Serious,large_blue,1,1,9/8/2007,Saturday,September,7,30,A,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH91SZ,55.935579,-3.177051
Serious,large_blue,2,1,9/11/2007,Tuesday,September,16,45,C,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH88AS,55.950512,-3.176255
Serious,large_blue,2,1,9/25/2007,Tuesday,September,7,35,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH128EW,55.944928,-3.299171
Serious,large_blue,2,1,9/29/2007,Saturday,September,9,30,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH35HB,55.962348,-3.19925
Serious,large_blue,2,1,10/5/2007,Friday,October,7,55,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH105NU,55.922816,-3.21712
Serious,large_blue,2,1,10/24/2007,Wednesday,October,10,0,Unclassified,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH178LE,55.901848,-3.141738
Serious,large_blue,2,1,10/25/2007,Thursday,October,16,0,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Unknown,Dry,EH35NS,55.96373,-3.203105
Serious,large_blue,2,1,10/28/2007,Sunday,October,16,0,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH11BB,55.951961,-3.189944
Serious,large_blue,2,1,11/2/2007,Friday,November,9,45,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH74BL,55.959729,-3.190455
Serious,large_blue,2,1,11/13/2007,Tuesday,November,19,45,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH113AA,55.932823,-3.246246
Serious,large_blue,2,1,11/14/2007,Wednesday,November,10,30,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Unknown,Dry,EH89DH,55.94691,-3.185434
Serious,large_blue,2,1,12/8/2007,Saturday,December,13,0,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH130LE,55.908164,-3.253518
Serious,large_blue,2,1,12/8/2007,Saturday,December,11,38,Unclassified,Roundabout,30,Roundabout,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH88DX,55.952715,-3.17227
Serious,large_blue,2,1,1/14/2008,Monday,January,18,10,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH13PP,55.956284,-3.193552
Serious,large_blue,2,1,2/15/2008,Friday,February,16,55,B,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH309TQ,55.981321,-3.330971
