PI Code,PI Short name,2008,2009,2010,2011,2012
SFCPQA001,Parks Quality Assessment Result - Abercorn Park (Community Park),57%,54%,56%,60%,63%
SFCPQA003,Parks Quality Assessment Result - Atholl Crescent (Garden),51%,54%,58%,58%,N/A
SFCPQA005,Parks Quality Assessment Result - Baronscourt Park (Community Park),44%,39%,44%,40%,40%
SFCPQA006,Parks Quality Assessment Result - Bellevue Crescent Gardens (Garden),39%,42%,40%,42%,40%
SFCPQA007,Parks Quality Assessment Result - Bingham Park (Community Park),45%,50%,52%,54%,49%
SFCPQA010,Parks Quality Assessment Result - Braid Hills (inc golf courses) (Natural Heritage Park),55%,48%,45%,52%,55%
SFCPQA011,Parks Quality Assessment Result - Braidburn Valley Park (Community Park),73%,67%,68%,65%,63%
SFCPQA012,Parks Quality Assessment Result - Briary Baulks (Natural Heritage Park),N/A,N/A,53%,57%,65%
SFCPQA013,Parks Quality Assessment Result - Brighton Park (Community Park),52%,59%,55%,58%,57%
SFCPQA014,Parks Quality Assessment Result - Burdiehouse Burn Valley Park inc Moredun Wood (Natural Heritage Park),51%,63%,61%,62%,60%
SFCPQA015,Parks Quality Assessment Result - Cairntows Park (Community Park),29%,34%,44%,48%,45%
SFCPQA016,Parks Quality Assessment Result - Calton Hill (Premier Park),66%,66%,69%,68%,70%
SFCPQA020,Parks Quality Assessment Result - Coates Crescent (Garden),50%,53%,54%,53%,N/A
SFCPQA024,Parks Quality Assessment Result - Craigmillar Castle Park inc Hawkhill Woods (Natural Heritage Park),66%,65%,70%,74%,72%
SFCPQA028,Parks Quality Assessment Result - Dalmeny Street Park (Community Park),46%,54%,54%,66%,66%
SFCPQA030,Parks Quality Assessment Result - Deaconess (Garden),N/A,N/A,62%,57%,60%
SFCPQA032,Parks Quality Assessment Result - Drum Park (Community Park),32%,38%,51%,58%,54%
SFCPQA034,Parks Quality Assessment Result - Dunbars Close Garden (Garden),63%,62%,63%,69%,64%
SFCPQA036,Parks Quality Assessment Result - East Pilton Park (Community Park),29%,36%,44%,51%,59%
SFCPQA038,Parks Quality Assessment Result - Easter Drylaw Park (Community Park),39%,41%,44%,60%,57%
SFCPQA041,Parks Quality Assessment Result - Ferniehill Community Park (Community Park),48%,46%,64%,63%,61%
SFCPQA042,Parks Quality Assessment Result - Fernieside Recreation Ground (Recreation Ground),29%,44%,49%,53%,49%
